Column1,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country,short_name,Name,Team,Nationality,Position.1,Overall,Potential,Value,Wage,preferred_foot,Work Rate,Body Type,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
337,Liverpool FC,Dominic Solanke,21,Centre-Forward,Bournemouth,€21.20m,out,Winter,21.2,Premier League,2018,2018/2019,England,D. Solanke,D. Solanke,Liverpool,England,ST,70,84,3800000,40000,Right,High/Medium,Normal (185+),54,70,64,71,65,73,54,42,58,76,76,74,73,63,69,68,69,68,70,57,34,22,66,63,71,24,15,22,9,15,14,9,10
338,AFC Bournemouth,Dominic Solanke,21,Centre-Forward,Liverpool,€21.20m,in,Winter,21.2,Premier League,2018,2018/2019,England,D. Solanke,D. Solanke,Liverpool,England,ST,70,84,3800000,40000,Right,High/Medium,Normal (185+),54,70,64,71,65,73,54,42,58,76,76,74,73,63,69,68,69,68,70,57,34,22,66,63,71,24,15,22,9,15,14,9,10
339,Burnley FC,Sam Vokes,29,Centre-Forward,Stoke City,€8.00m,out,Winter,8,Premier League,2018,2018/2019,England,S. Vokes,S. Vokes,Burnley,Wales,ST,76,77,9000000,60000,Right,High/Medium,Normal (185+),59,78,81,68,70,71,61,46,60,77,57,59,53,74,57,80,86,79,86,71,80,42,78,70,79,42,38,29,13,14,9,9,7
403,Cagliari Calcio,Marco Sau,31,Centre-Forward,Sampdoria,€100Th.,out,Winter,0.1,Serie A,2018,2018/2019,Italy,M. Sau,M. Sau,Cagliari,Italy,"ST, CF",74,74,5500000,50000,Right,High/Medium,Normal (170-),73,75,49,73,77,79,79,70,59,76,89,91,93,80,95,68,73,76,52,65,38,14,83,74,76,18,22,22,3,3,3,3,3
404,UC Sampdoria,Marco Sau,31,Centre-Forward,Cagliari Calcio,€100Th.,in,Winter,0.1,Serie A,2018,2018/2019,Italy,M. Sau,M. Sau,Cagliari,Italy,"ST, CF",74,74,5500000,50000,Right,High/Medium,Normal (170-),73,75,49,73,77,79,79,70,59,76,89,91,93,80,95,68,73,76,52,65,38,14,83,74,76,18,22,22,3,3,3,3,3
388,Burnley FC,Nahki Wells,29,Centre-Forward,Bristol City,€4.75m,out,Winter,4.75,Premier League,2019,2019/2020,England,N. Wells,N. Wells,Burnley,Bermuda,ST,70,70,1800000,30000,Right,High/Medium,Lean (170-),61,71,65,63,67,70,67,65,43,72,82,75,78,66,79,69,71,71,57,67,67,53,73,66,70,35,48,35,10,6,13,11,7
390,Tottenham Hotspur,Christian Eriksen,27,Attacking Midfield,Inter,€27.00m,out,Winter,27,Premier League,2019,2019/2020,England,C. Eriksen,C. Eriksen,Tottenham Hotspur,Denmark,"CAM, RM, CM",88,91,73500000,200000,Right,High/Medium,Lean (170-185),88,80,52,91,76,84,86,87,87,91,75,73,79,88,81,84,50,92,58,89,46,56,83,91,67,59,57,22,9,14,7,7,6
391,Inter Milan,Christian Eriksen,27,Attacking Midfield,Spurs,€27.00m,in,Winter,27,Serie A,2019,2019/2020,Italy,C. Eriksen,C. Eriksen,Tottenham Hotspur,Denmark,"CAM, RM, CM",88,91,73500000,200000,Right,High/Medium,Lean (170-185),88,80,52,91,76,84,86,87,87,91,75,73,79,88,81,84,50,92,58,89,46,56,83,91,67,59,57,22,9,14,7,7,6
392,Manchester United,Ashley Young,34,Left-Back,Inter,€1.70m,out,Winter,1.7,Premier League,2019,2019/2020,England,A. Young,A. Young,Manchester United,England,"LB, LWB, RB",80,80,8000000,110000,Right,High/Medium,Lean (170-185),88,64,57,79,71,77,86,75,70,79,77,73,77,80,76,75,55,75,66,69,75,78,67,76,60,75,76,74,16,10,15,16,15
393,Inter Milan,Ashley Young,34,Left-Back,Man Utd,€1.70m,in,Winter,1.7,Serie A,2019,2019/2020,Italy,A. Young,A. Young,Manchester United,England,"LB, LWB, RB",80,80,8000000,110000,Right,High/Medium,Lean (170-185),88,64,57,79,71,77,86,75,70,79,77,73,77,80,76,75,55,75,66,69,75,78,67,76,60,75,76,74,16,10,15,16,15
394,Wolverhampton Wanderers,Ivan Cavaleiro,26,Left Winger,Fulham,€11.80m,out,Winter,11.8,Premier League,2019,2019/2020,England,I. Cavaleiro,Ivan Cavaleiro,Wolverhampton Wanderers,Portugal,"RW, LW, ST",75,80,9000000,50000,Right,High/Medium,Stocky (170-185),72,70,61,68,62,79,72,52,63,78,86,87,77,71,75,78,46,62,73,67,68,37,72,72,72,25,46,36,13,15,12,9,13
395,Watford FC,Ignacio Pussetto,24,Right Winger,Udinese Calcio,€8.50m,in,Winter,8.5,Premier League,2019,2019/2020,England,I. Pussetto,I. Pussetto,Udinese Calcio,Argentina,"RW, CAM, RM",74,82,8500000,20000,Right,High/Medium,Lean (170-185),65,78,67,68,64,80,43,42,67,77,79,78,77,68,66,74,71,78,74,67,33,12,79,55,69,25,18,25,6,14,11,11,10
396,Udinese Calcio,Ignacio Pussetto,24,Right Winger,Watford,€8.50m,out,Winter,8.5,Serie A,2019,2019/2020,Italy,I. Pussetto,I. Pussetto,Udinese Calcio,Argentina,"RW, CAM, RM",74,82,8500000,20000,Right,High/Medium,Lean (170-185),65,78,67,68,64,80,43,42,67,77,79,78,77,68,66,74,71,78,74,67,33,12,79,55,69,25,18,25,6,14,11,11,10
397,Watford FC,Marvin Zeegelaar,29,Left-Back,Udinese Calcio,€2.00m,out,Winter,2,Premier League,2019,2019/2020,England,M. Zeegelaar,M. Zeegelaar,Watford,Netherlands,"LB, LWB",75,75,5500000,40000,Left,High/Medium,Normal (185+),75,56,60,69,58,74,68,52,59,76,71,77,65,73,53,76,65,77,79,64,71,74,74,67,53,73,75,74,12,15,12,11,10
398,Udinese Calcio,Marvin Zeegelaar,29,Left-Back,Watford,€2.00m,in,Winter,2,Serie A,2019,2019/2020,Italy,M. Zeegelaar,M. Zeegelaar,Watford,Netherlands,"LB, LWB",75,75,5500000,40000,Left,High/Medium,Normal (185+),75,56,60,69,58,74,68,52,59,76,71,77,65,73,53,76,65,77,79,64,71,74,74,67,53,73,75,74,12,15,12,11,10
494,SPAL,Gabriele Moncini,23,Centre-Forward,Benevento,€2.50m,out,Winter,2.5,Serie A,2019,2019/2020,Italy,G. Moncini,G. Moncini,SPAL,Italy,ST,67,75,1100000,5000,Right,High/Medium,Lean (170-185),42,69,66,63,60,62,55,40,46,65,72,69,69,65,64,60,72,63,65,53,36,24,70,52,65,27,33,30,9,13,9,8,14
0,Atlético de Madrid,Geoffrey Kondogbia,27,Defensive Midfield,Valencia,€15.00m,in,Winter,15,Primera Division,2020,2020/2021,Spain,G. Kondogbia,G. Kondogbia,Valencia CF,Central African Republic,"CM, CDM",81,84,21500000,45000,Left,High/Medium,Lean (185+),65,69,75,83,62,79,62,56,79,82,65,73,73,83,66,86,78,82,92,80,86,78,77,79,45,77,80,81,15,10,10,8,10
1,Valencia CF,Geoffrey Kondogbia,27,Defensive Midfield,Atlético Madrid,€15.00m,out,Winter,15,Primera Division,2020,2020/2021,Spain,G. Kondogbia,G. Kondogbia,Valencia CF,Central African Republic,"CM, CDM",81,84,21500000,45000,Left,High/Medium,Lean (185+),65,69,75,83,62,79,62,56,79,82,65,73,73,83,66,86,78,82,92,80,86,78,77,79,45,77,80,81,15,10,10,8,10
170,Stade Rennais FC,Adrien Hunou,27,Centre-Forward,Minnesota,€3.27m,out,Winter,3.27,Ligue 1,2020,2020/2021,France,A. Hunou,A. Hunou,Stade Rennais FC,France,"ST, RM",73,76,5000000,32000,Right,High/Medium,Lean (170-185),66,74,63,73,69,76,68,62,64,77,75,75,78,70,74,72,64,75,65,67,69,56,74,69,67,36,58,56,8,7,13,8,8
182,Borussia Mönchengladbach,Kouadio Koné,19,Central Midfield,Toulouse,€9.00m,in,Winter,9,1 Bundesliga,2020,2020/2021,Germany,K. Kone,K. Koné,Toulouse Football Club,France,CM,63,77,750000,2000,Right,High/Medium,Lean (185+),43,38,54,67,37,72,46,41,55,70,76,69,59,58,58,57,63,50,57,37,67,52,63,68,53,47,61,58,11,10,11,9,10
183,Bayer 04 Leverkusen,Demarai Gray,24,Left Winger,Leicester,€2.00m,in,Winter,2,1 Bundesliga,2020,2020/2021,Germany,D. Gray,D. Gray,Leicester City,England,"LW, RW",75,80,9000000,60000,Right,High/Medium,Lean (170-185),67,63,31,69,54,83,68,60,60,78,89,88,87,67,75,82,51,66,56,68,41,25,68,70,58,42,45,31,6,11,11,13,10
184,Leicester City,Demarai Gray,24,Left Winger,Bay. Leverkusen,€2.00m,out,Winter,2,Premier League,2020,2020/2021,England,D. Gray,D. Gray,Leicester City,England,"LW, RW",75,80,9000000,60000,Right,High/Medium,Lean (170-185),67,63,31,69,54,83,68,60,60,78,89,88,87,67,75,82,51,66,56,68,41,25,68,70,58,42,45,31,6,11,11,13,10
240,West Ham United,Sébastien Haller,26,Centre-Forward,Ajax,€22.50m,out,Winter,22.5,Premier League,2020,2020/2021,England,S. Haller,S. Haller,West Ham United,France,ST,83,85,32000000,115000,Right,High/Medium,Lean (185+),40,85,86,76,82,76,57,46,45,80,68,76,68,84,53,81,80,72,89,67,76,36,84,75,91,39,61,55,6,7,14,7,6
242,Manchester United,Amad Diallo,18,Right Winger,Atalanta BC,€21.30m,in,Winter,21.3,Premier League,2020,2020/2021,England,A. Diallo,A. Diallo,Paris Saint-Germain,France,"CB, LB",79,85,15500000,61000,Left,High/Medium,Lean (185+),69,38,79,77,39,75,47,32,78,77,78,76,75,78,72,43,82,76,76,24,76,77,59,69,41,75,80,81,12,7,7,7,8
243,Atalanta BC,Amad Diallo,18,Right Winger,Man Utd,€21.30m,out,Winter,21.3,Serie A,2020,2020/2021,Italy,A. Diallo,A. Diallo,Paris Saint-Germain,France,"CB, LB",79,85,15500000,61000,Left,High/Medium,Lean (185+),69,38,79,77,39,75,47,32,78,77,78,76,75,78,72,43,82,76,76,24,76,77,59,69,41,75,80,81,12,7,7,7,8
7,Real Betis Balompié,Álex Moreno,29,Left-Back,Aston Villa,€13.50m,out,Winter,13.5,Primera Division,2022,2022/2023,Spain,A. Moreno,Álex Moreno,Real Betis Balompié,Spain,"LB, LWB, LM",78,78,12500000,25000,Left,High/Medium,Lean (170-185),75,59,60,73,65,78,69,57,64,75,87,89,85,74,78,61,62,91,51,56,63,70,73,73,70,71,74,72,15,7,12,11,9
10,Aston Villa,Álex Moreno,29,Left-Back,Real Betis,€13.50m,in,Winter,13.5,Premier League,2022,2022/2023,England,A. Moreno,Álex Moreno,Real Betis Balompié,Spain,"LB, LWB, LM",78,78,12500000,25000,Left,High/Medium,Lean (170-185),75,59,60,73,65,78,69,57,64,75,87,89,85,74,78,61,62,91,51,56,63,70,73,73,70,71,74,72,15,7,12,11,9
163,FC Nantes,Florent Mollet,31,Attacking Midfield,FC Schalke 04,€1.50m,in,Winter,1.5,Ligue 1,2022,2022/2023,France,F. Mollet,F. Mollet,Montpellier Hérault SC,France,"CAM, CM",78,78,14000000,30000,Right,High/Medium,Normal (170-),72,71,41,80,71,80,77,83,78,80,76,72,81,73,89,85,69,76,54,80,68,54,73,80,63,53,52,44,9,13,12,12,15
164,FC Schalke 04,Florent Mollet,31,Attacking Midfield,FC Nantes,€1.50m,out,Winter,1.5,1 Bundesliga,2022,2022/2023,Germany,F. Mollet,F. Mollet,Montpellier Hérault SC,France,"CAM, CM",78,78,14000000,30000,Right,High/Medium,Normal (170-),72,71,41,80,71,80,77,83,78,80,76,72,81,73,89,85,69,76,54,80,68,54,73,80,63,53,52,44,9,13,12,12,15
193,Stade Rennais FC,Kamaldeen Sulemana,20,Left Winger,Southampton,€25.00m,out,Winter,25,Ligue 1,2022,2022/2023,France,K. Sulemana,K. Sulemana,Stade Rennais FC,Ghana,"LW, ST",72,84,5500000,19000,Right,High/Medium,Lean (170-185),57,70,42,66,58,75,65,50,48,73,92,93,89,62,89,64,78,71,61,61,52,26,67,64,56,30,25,25,6,13,7,12,14
194,Southampton FC,Kamaldeen Sulemana,20,Left Winger,Rennes,€25.00m,in,Winter,25,Premier League,2022,2022/2023,England,K. Sulemana,K. Sulemana,Stade Rennais FC,Ghana,"LW, ST",72,84,5500000,19000,Right,High/Medium,Lean (170-185),57,70,42,66,58,75,65,50,48,73,92,93,89,62,89,64,78,71,61,61,52,26,67,64,56,30,25,25,6,13,7,12,14
237,VfB Stuttgart,Naouirou Ahamada,20,Central Midfield,Crystal Palace,€12.00m,out,Winter,12,1 Bundesliga,2022,2022/2023,Germany,N. Ahamada,N. Ahamada,VfB Stuttgart,France,CM,64,79,1400000,3000,Right,High/Medium,Lean (170-185),52,41,56,74,44,71,45,46,62,70,72,66,74,58,72,65,66,60,58,44,67,55,56,63,49,50,63,58,13,9,7,5,9
238,Crystal Palace,Naouirou Ahamada,20,Central Midfield,VfB Stuttgart,€12.00m,in,Winter,12,Premier League,2022,2022/2023,England,N. Ahamada,N. Ahamada,VfB Stuttgart,France,CM,64,79,1400000,3000,Right,High/Medium,Lean (170-185),52,41,56,74,44,71,45,46,62,70,72,66,74,58,72,65,66,60,58,44,67,55,56,63,49,50,63,58,13,9,7,5,9
334,Everton FC,Anthony Gordon,21,Left Winger,Newcastle,€45.60m,out,Winter,45.6,Premier League,2022,2022/2023,England,A. Gordon,A. Gordon,Everton,England,"LM, CAM",67,81,2500000,16000,Right,High/Medium,Lean (185+),62,62,45,62,44,73,63,59,51,69,78,79,68,59,66,61,55,63,51,62,54,28,62,63,65,32,28,25,5,6,14,7,8
335,Newcastle United,Anthony Gordon,21,Left Winger,Everton,€45.60m,in,Winter,45.6,Premier League,2022,2022/2023,England,A. Gordon,A. Gordon,Everton,England,"LM, CAM",67,81,2500000,16000,Right,High/Medium,Lean (185+),62,62,45,62,44,73,63,59,51,69,78,79,68,59,66,61,55,63,51,62,54,28,62,63,65,32,28,25,5,6,14,7,8
419,AS Roma,Nicolò Zaniolo,23,Attacking Midfield,Galatasaray,€15.00m,out,Winter,15,Serie A,2022,2022/2023,Italy,N. Zaniolo,N. Zaniolo,Roma,Italy,"CAM, RM",78,87,31500000,38000,Left,High/Medium,Unique,64,76,60,77,60,80,65,60,68,81,82,84,78,78,81,79,65,74,88,72,80,60,80,76,60,64,59,58,8,11,11,13,5
15,FC Barcelona,Lucas Digne,22,Left-Back,Paris SG,€16.50m,in,Summer,16.5,Primera Division,2016,2016/2017,Spain,L. Digne,L. Digne,Roma,France,LB,76,81,6000000,70000,Left,High/Medium,Lean (170-185),76,47,67,77,25,70,65,37,67,77,74,75,71,76,66,67,75,76,68,58,77,74,65,72,28,77,78,81,6,12,9,6,13
16,Paris Saint-Germain,Lucas Digne,22,Left-Back,Barcelona,€16.50m,out,Summer,16.5,Ligue 1,2016,2016/2017,France,L. Digne,L. Digne,Roma,France,LB,76,81,6000000,70000,Left,High/Medium,Lean (170-185),76,47,67,77,25,70,65,37,67,77,74,75,71,76,66,67,75,76,68,58,77,74,65,72,28,77,78,81,6,12,9,6,13
21,FC Barcelona,Marc Bartra,25,Centre-Back,Bor. Dortmund,€8.00m,out,Summer,8,Primera Division,2016,2016/2017,Spain,M. Bartra,Marc Bartra,FC Barcelona,Spain,"CB, RB",80,85,16500000,90000,Right,High/Medium,Lean (170-185),50,43,77,79,43,62,56,45,73,78,71,72,67,76,69,58,85,64,73,36,63,83,58,43,52,83,87,82,10,15,13,12,8
22,Borussia Dortmund,Marc Bartra,25,Centre-Back,Barcelona,€8.00m,in,Summer,8,1 Bundesliga,2016,2016/2017,Germany,M. Bartra,Marc Bartra,FC Barcelona,Spain,"CB, RB",80,85,16500000,90000,Right,High/Medium,Lean (170-185),50,43,77,79,43,62,56,45,73,78,71,72,67,76,69,58,85,64,73,36,63,83,58,43,52,83,87,82,10,15,13,12,8
26,Real Madrid,Omar Mascarell,23,Defensive Midfield,E. Frankfurt,€1.00m,out,Summer,1,Primera Division,2016,2016/2017,Spain,O. Mascarell,Omar Mascarell,Real Sporting de Gijón,Spain,"CDM, CM, CAM",71,78,2000000,20000,Right,High/Medium,Lean (170-185),46,53,46,80,54,72,63,69,73,77,69,67,79,66,68,74,72,67,74,71,63,71,62,69,75,59,70,64,6,7,9,10,11
27,Eintracht Frankfurt,Omar Mascarell,23,Defensive Midfield,Real Madrid,€1.00m,in,Summer,1,1 Bundesliga,2016,2016/2017,Germany,O. Mascarell,Omar Mascarell,Real Sporting de Gijón,Spain,"CDM, CM, CAM",71,78,2000000,20000,Right,High/Medium,Lean (170-185),46,53,46,80,54,72,63,69,73,77,69,67,79,66,68,74,72,67,74,71,63,71,62,69,75,59,70,64,6,7,9,10,11
46,Villarreal CF,Samu García,25,Right Winger,Rubin Kazan,€5.00m,out,Summer,5,Primera Division,2016,2016/2017,Spain,S. Garcia,S. García,SV Werder Bremen,Argentina,LB,74,75,3200000,40000,Left,High/Medium,Lean (185+),71,48,77,67,40,67,64,46,65,69,71,76,56,71,53,64,72,83,78,49,90,76,63,55,67,69,75,80,16,12,16,6,9
49,Real Betis Balompié,Jonas Martin,26,Defensive Midfield,Montpellier,€2.60m,in,Summer,2.6,Primera Division,2016,2016/2017,Spain,J. Martin,J. Martin,Montpellier Hérault SC,France,"CM, CDM, CAM",74,76,4000000,35000,Right,High/Medium,Lean (170-185),63,70,52,76,64,75,64,67,75,76,72,69,72,74,63,73,61,68,69,73,68,68,68,73,69,69,73,65,8,8,14,15,11
50,Montpellier HSC,Jonas Martin,26,Defensive Midfield,Real Betis,€2.60m,out,Summer,2.6,Ligue 1,2016,2016/2017,France,J. Martin,J. Martin,Montpellier Hérault SC,France,"CM, CDM, CAM",74,76,4000000,35000,Right,High/Medium,Lean (170-185),63,70,52,76,64,75,64,67,75,76,72,69,72,74,63,73,61,68,69,73,68,68,68,73,69,69,73,65,8,8,14,15,11
60,Real Sociedad,Juanmi,23,Left Winger,Southampton,€5.00m,in,Summer,5,Primera Division,2016,2016/2017,Spain,Juanmi,Juanmi,Southampton,Spain,"CAM, ST, LM",70,77,1900000,20000,Right,High/Medium,Lean (170-),39,69,66,64,65,75,60,57,48,72,76,76,77,76,80,68,75,68,51,56,55,23,83,65,62,25,28,25,11,6,9,12,9
61,Southampton FC,Juanmi,23,Left Winger,Real Sociedad,€5.00m,out,Summer,5,Premier League,2016,2016/2017,England,Juanmi,Juanmi,Southampton,Spain,"CAM, ST, LM",70,77,1900000,20000,Right,High/Medium,Lean (170-),39,69,66,64,65,75,60,57,48,72,76,76,77,76,80,68,75,68,51,56,55,23,83,65,62,25,28,25,11,6,9,12,9
66,UD Las Palmas,Mateo García,19,Right Winger,Instituto AC,€400Th.,in,Summer,0.4,Primera Division,2016,2016/2017,Spain,M. Garcia,Manu García,Manchester City,Spain,CAM,61,81,425000,4000,Right,High/Medium,Lean (170-),42,54,35,65,49,64,61,58,53,66,70,68,68,53,87,60,29,52,32,54,28,31,55,61,49,23,38,33,15,14,12,12,12
71,Sevilla FC,Pablo Sarabia,24,Right Winger,Getafe,€1.00m,in,Summer,1,Primera Division,2016,2016/2017,Spain,P. Sarabia,Pablo Sarabia,Getafe CF,Spain,"CAM, RM, ST",77,82,9500000,50000,Left,High/Medium,Lean (170-185),74,71,61,76,49,84,79,73,66,80,77,79,81,73,83,67,54,62,54,70,32,25,75,77,61,26,27,28,16,7,15,6,14
76,Sevilla FC,Diogo Figueiras,25,Right-Back,Olympiacos,€1.50m,out,Summer,1.5,Primera Division,2016,2016/2017,Spain,D. Figueiras,Diogo Figueiras,Genoa,Portugal,RB,77,83,8000000,60000,Right,High/Medium,Normal (170-),78,41,60,73,47,72,63,43,63,77,83,80,84,73,90,74,83,79,64,77,80,78,63,57,48,76,78,80,13,12,16,7,16
87,Sevilla FC,Wissam Ben Yedder,25,Centre-Forward,Toulouse,€9.50m,in,Summer,9.5,Primera Division,2016,2016/2017,Spain,W. Ben Yedder,W. Ben Yedder,Toulouse Football Club,France,"ST, CF",78,82,11500000,50000,Right,High/Medium,Normal (170-),75,83,75,80,75,82,76,77,70,82,81,82,91,76,82,77,84,80,57,69,55,44,81,79,74,28,21,26,6,13,9,7,7
88,FC Toulouse,Wissam Ben Yedder,25,Centre-Forward,Sevilla FC,€9.50m,out,Summer,9.5,Ligue 1,2016,2016/2017,France,W. Ben Yedder,W. Ben Yedder,Toulouse Football Club,France,"ST, CF",78,82,11500000,50000,Right,High/Medium,Normal (170-),75,83,75,80,75,82,76,77,70,82,81,82,91,76,82,77,84,80,57,69,55,44,81,79,74,28,21,26,6,13,9,7,7
111,LOSC Lille,Michael Frey,21,Centre-Forward,BSC Young Boys,€500Th.,out,Summer,0.5,Ligue 1,2016,2016/2017,France,M. Frey,M. Frey,LOSC Lille,Switzerland,ST,68,74,1200000,8000,Right,High/Medium,Stocky (185+),45,69,70,65,52,61,40,35,61,68,63,65,62,62,48,68,71,56,85,53,29,26,72,65,62,22,20,16,10,14,7,16,14
112,SM Caen,Andy Delort,24,Centre-Forward,Tigres UANL,€8.00m,out,Summer,8,Ligue 1,2016,2016/2017,France,A. Delort,A. Delort,Stade Malherbe Caen,France,ST,73,80,4200000,35000,Right,High/Medium,Stocky (170-185),62,79,68,65,72,74,37,73,52,75,73,72,73,62,58,75,53,80,79,73,68,23,74,59,71,20,20,24,10,14,10,8,11
117,Paris Saint-Germain,David Luiz,29,Centre-Back,Chelsea,€35.00m,out,Summer,35,Ligue 1,2016,2016/2017,France,D. Luiz,David Luiz,Paris Saint-Germain,Brazil,CB,83,84,21000000,160000,Right,High/Medium,Normal (185+),68,56,83,78,67,70,70,76,76,79,72,73,74,79,56,74,82,71,77,71,84,80,54,68,75,81,85,84,11,12,10,7,14
118,Chelsea FC,David Luiz,29,Centre-Back,Paris SG,€35.00m,in,Summer,35,Premier League,2016,2016/2017,England,D. Luiz,David Luiz,Paris Saint-Germain,Brazil,CB,83,84,21000000,160000,Right,High/Medium,Normal (185+),68,56,83,78,67,70,70,76,76,79,72,73,74,79,56,74,82,71,77,71,84,80,54,68,75,81,85,84,11,12,10,7,14
147,Stade Rennais FC,Steven Moreira,22,Right-Back,FC Lorient,€1.20m,out,Summer,1.2,Ligue 1,2016,2016/2017,France,S. Moreira,S. Moreira,Stade Rennais FC,France,"LB, RM, RB",71,78,2000000,15000,Right,High/Medium,Lean (170-185),74,24,54,75,34,65,43,29,69,66,69,70,72,70,66,42,52,66,59,28,72,74,53,69,35,75,75,73,10,14,9,15,9
148,FC Lorient,Steven Moreira,22,Right-Back,Stade Rennais,€1.20m,in,Summer,1.2,Ligue 1,2016,2016/2017,France,S. Moreira,S. Moreira,Stade Rennais FC,France,"LB, RM, RB",71,78,2000000,15000,Right,High/Medium,Lean (170-185),74,24,54,75,34,65,43,29,69,66,69,70,72,70,66,42,52,66,59,28,72,74,53,69,35,75,75,73,10,14,9,15,9
159,Olympique Marseille,Benjamin Mendy,21,Left-Back,Monaco,€13.00m,out,Summer,13,Ligue 1,2016,2016/2017,France,B. Mendy,B. Mendy,Olympique de Marseille,France,LB,76,80,6000000,60000,Left,High/Medium,Normal (185+),74,33,64,74,20,75,32,29,68,73,76,78,66,68,69,65,68,84,78,63,77,76,68,31,40,77,79,76,7,7,9,15,9
160,AS Monaco,Benjamin Mendy,21,Left-Back,Marseille,€13.00m,in,Summer,13,Ligue 1,2016,2016/2017,France,B. Mendy,B. Mendy,Olympique de Marseille,France,LB,76,80,6000000,60000,Left,High/Medium,Normal (185+),74,33,64,74,20,75,32,29,68,73,76,78,66,68,69,65,68,84,78,63,77,76,68,31,40,77,79,76,7,7,9,15,9
163,Olympique Marseille,Brice Dja Djedje,25,Defensive Midfield,Watford,€3.60m,out,Summer,3.6,Ligue 1,2016,2016/2017,France,B. Dja Djedje,B. Dja Djédjé,Olympique de Marseille,Côte d'Ivoire,RB,76,79,5500000,80000,Right,High/Medium,Normal (170-),77,58,58,76,31,70,56,27,66,75,82,84,77,70,87,72,67,85,68,53,85,70,63,68,58,75,77,79,7,7,14,14,8
164,Watford FC,Brice Dja Djedje,25,Defensive Midfield,Marseille,€3.60m,in,Summer,3.6,Premier League,2016,2016/2017,England,B. Dja Djedje,B. Dja Djédjé,Olympique de Marseille,Côte d'Ivoire,RB,76,79,5500000,80000,Right,High/Medium,Normal (170-),77,58,58,76,31,70,56,27,66,75,82,84,77,70,87,72,67,85,68,53,85,70,63,68,58,75,77,79,7,7,14,14,8
243,Bayer 04 Leverkusen,Danny da Costa,22,Right-Back,FC Ingolstadt,€500Th.,in,Summer,0.5,1 Bundesliga,2016,2016/2017,Germany,D. da Costa,D. da Costa,FC Ingolstadt 04,Germany,RB,70,75,1500000,20000,Right,High/Medium,Lean (185+),73,39,65,69,48,68,58,49,66,70,74,78,74,66,63,57,81,79,78,44,67,60,52,46,40,69,71,73,15,15,12,6,6
244,FC Ingolstadt 04,Danny da Costa,22,Right-Back,Bay. Leverkusen,€500Th.,out,Summer,0.5,1 Bundesliga,2016,2016/2017,Germany,D. da Costa,D. da Costa,FC Ingolstadt 04,Germany,RB,70,75,1500000,20000,Right,High/Medium,Lean (185+),73,39,65,69,48,68,58,49,66,70,74,78,74,66,63,57,81,79,78,44,67,60,52,46,40,69,71,73,15,15,12,6,6
259,Hertha BSC,Roy Beerens,28,Right Winger,Reading,€1.00m,out,Summer,1,1 Bundesliga,2016,2016/2017,Germany,R. Beerens,R. Beerens,Hertha BSC,Netherlands,"RM, LM",74,75,3700000,45000,Right,High/Medium,Lean (170-185),67,67,35,74,68,82,71,62,61,76,84,78,85,72,86,73,63,75,44,66,49,21,71,64,71,18,24,23,9,11,16,11,12
302,TSG 1899 Hoffenheim,Tarik Elyounoussi,28,Centre-Forward,Olympiacos,€1.00m,out,Summer,1,1 Bundesliga,2016,2016/2017,Germany,T. Elyounoussi,T. Elyounoussi,TSG Hoffenheim,Norway,"LM, LW",75,76,4500000,40000,Right,High/Medium,Lean (170-185),72,72,68,69,70,82,58,69,47,77,84,85,91,75,90,75,77,77,44,74,43,36,74,71,65,43,33,28,15,8,9,14,7
303,Eintracht Frankfurt,Luc Castaignos,23,Centre-Forward,Sporting CP,€2.50m,out,Summer,2.5,1 Bundesliga,2016,2016/2017,Germany,L. Castaignos,L. Castaignos,Eintracht Frankfurt,Netherlands,ST,75,80,5500000,35000,Right,High/Medium,Normal (185+),52,77,66,72,71,71,67,49,65,71,77,82,74,73,65,81,78,75,76,69,71,36,77,68,62,18,24,14,16,13,15,14,10
304,Bayern Munich,Mats Hummels,27,Centre-Back,Bor. Dortmund,€35.00m,in,Summer,35,1 Bundesliga,2016,2016/2017,Germany,M. Hummels,M. Hummels,Borussia Dortmund,Germany,CB,86,88,39000000,220000,Right,High/Medium,Normal (185+),64,55,90,78,60,68,65,53,84,77,62,66,60,85,58,71,70,67,86,51,71,91,56,79,68,86,87,86,15,6,10,5,6
305,Borussia Dortmund,Mats Hummels,27,Centre-Back,Bayern Munich,€35.00m,out,Summer,35,1 Bundesliga,2016,2016/2017,Germany,M. Hummels,M. Hummels,Borussia Dortmund,Germany,CB,86,88,39000000,220000,Right,High/Medium,Normal (185+),64,55,90,78,60,68,65,53,84,77,62,66,60,85,58,71,70,67,86,51,71,91,56,79,68,86,87,86,15,6,10,5,6
